Port Name,Bus Passengers,Buses,Pedestrians,Personal Vehicle Passengers,Personal Vehicles,Rail Containers Empty,Rail Containers Loaded,Train Passengers,Trains,Truck Containers Empty,Truck Containers Loaded,Trucks,Composite Metric,Total Traffic,Rank
Laredo,1.0,0.5228396130647169,0.5245412305536097,0.4823651755531695,0.40672523763225665,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.675293736120078,760286980,1.0
San Ysidro,0.73702982462997,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1737029824629972,1358385728,2.0
Otay Mesa,0.26345795913661724,0.49670623880779635,0.28181140888865297,0.3826983177096247,0.3864955380067674,0.024930745277490337,0.00028315818210695955,0.11605593247081099,0.06454063021556851,0.4715467980547375,0.43722609052117234,0.43600763600636216,0.8015073087212887,545077504,3.0
El Paso,0.35844135209683403,0.23737996410199513,0.8621757360861666,0.9561602407995446,0.8814315125656103,0.3700196574800471,0.18200451827298375,1.0,0.36376810145811056,0.49493703966625624,0.27625830412865515,0.35057357822197366,0.7166125127603373,1278716856,4.0
Hidalgo,0.60262218433821,0.40553546820351327,0.2911876557993309,0.5114578312029997,0.4129990329407729,6.827005820857935e-05,1.4009062812960275e-05,0.0,0.0166498435954068,0.2660827599162446,0.2723497617521429,0.2701441599037559,0.6383134539668488,641952754,5.0
Eagle Pass,0.04837482406424846,0.0345681611034437,0.09827930843944406,0.24967192934675486,0.20677752173383876,0.7323720622689769,0.4132123674107872,0.8136438939728621,0.6165638960234258,0.0804168985574106,0.06693139249321144,0.06928103696320032,0.39215604084712596,299777641,6.0
Nogales,0.19532793812990107,0.11684219913127243,0.5785515224188502,0.30155018447792437,0.24512883768128524,0.1666670247264125,0.1653734842412928,0.6057904701798674,0.18834510948321523,0.11687926069290552,0.19568996589055385,0.16623163746548267,0.3715185186604965,463524593,7.0
Brownsville,0.08787349763990823,0.11853029710731762,0.3652696232549714,0.4553078138247592,0.4022238111999143,0.47253550460763216,0.0496348099994589,0.26328297570211423,0.2207153636281868,0.2165770945404985,0.10541681275975498,0.1386323131697559,0.34351844759577693,589044356,8.0
Calexico East,0.055455578226474594,0.02097575795910199,0.019894227667689442,0.22115342917665498,0.2049107978798765,0.04299939487902951,0.004507065733499644,0.2115020511202272,0.07557389992104815,0.2563575336750088,0.1405169748993386,0.17366455353288945,0.1531299652754872,267035837,9.0
Calexico,0.016378926993372643,0.009965792166935055,0.6750420622809307,0.4170868531128404,0.3733222331855452,0.0017695312639867088,0.0003383188669329906,0.02009703376459451,0.002978183308182009,0.008007051608496435,0.0030612001016912796,0.004013033557039328,0.08260349952697606,596774487,10.0
